number,kind,wcag22_status,level,wcag22_en,wcag22_ja,jis2016_ja,wcag20_initial_ja,wcag20_revised_ja,wcag21_ja,wcag22_url,waic_url,workbook_row
1,principle,active,,Perceivable,知覚可能,知覚可能の原則,知覚可能,知覚可能,知覚可能,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#perceivable,https://waic.jp/translations/WCAG22/#perceivable,2
1.1,guideline,active,,Text Alternatives,テキストによる代替,代替テキストのガイドライン,代替テキスト,テキストによる代替,テキストによる代替,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#text-alternatives,https://waic.jp/translations/WCAG22/#text-alternatives,3
1.1.1,success_criterion,active,A,Non-text Content,非テキストコンテンツ,非テキストコンテンツの達成基準,非テキストコンテンツ,非テキストコンテンツ,非テキストコンテンツ,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#non-text-content,https://waic.jp/translations/WCAG22/#non-text-content,4
1.2,guideline,active,,Time-based Media,時間ベースのメディア,時間依存メディアのガイドライン,時間の経過に伴って変化するメディア,時間依存メディア,時間依存メディア,https://www.w3.org/TR/2024/REC-WCAG22-20241212/#time-based-media,https://waic.jp/translations/WCAG22/#time-based-media,5
1.2.1,success_criterion,active,A,Audio-only and Video-only (Prerecorded),音声だけ及び映像だけ (収録済み),音声だけ及び映像だけ(収録済み)の達成基準,収録済の音声しか含まないメディア及び収録済の映像しか含まないメディア,音声のみ及び映像のみ (収録済) ,音声のみ及び映像のみ (収録済),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#audio-only-and-video-only-prerecorded,https://waic.jp/translations/WCAG22/#audio-only-and-video-only-prerecorded,6
1.2.2,success_criterion,active,A,Captions (Prerecorded),キャプション (収録済み),キャプション(収録済み)の達成基準,収録済の音声コンテンツのキャプション,キャプション (収録済) ,キャプション (収録済),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#captions-prerecorded,https://waic.jp/translations/WCAG22/#captions-prerecorded,7
1.2.3,success_criterion,active,A,Audio Description or Media Alternative (Prerecorded),音声解説、又はメディアに対する代替 (収録済み),音声解説又はメディアに対する代替コンテンツ(収録済み)の達成基準,収録済の映像コンテンツの代替コンテンツ又は音声ガイド,音声解説、又はメディアに対する代替 (収録済),音声解説、又はメディアに対する代替 (収録済),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#audio-description-or-media-alternative-prerecorded,https://waic.jp/translations/WCAG22/#audio-description-or-media-alternative-prerecorded,8
1.2.4,success_criterion,active,AA,Captions (Live),キャプション (ライブ),キャプション(ライブ)の達成基準,ライブの音声コンテンツのキャプション,キャプション (ライブ),キャプション (ライブ),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#captions-live,https://waic.jp/translations/WCAG22/#captions-live,9
1.2.5,success_criterion,active,AA,Audio Description (Prerecorded),音声解説 (収録済み),音声解説(収録済み)の達成基準,収録済の映像コンテンツの音声ガイド,音声解説 (収録済),音声解説 (収録済),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#audio-description-prerecorded,https://waic.jp/translations/WCAG22/#audio-description-prerecorded,10
1.2.6,success_criterion,active,AAA,Sign Language (Prerecorded),手話 (収録済み),手話(収録済み)の達成基準,収録済の音声コンテンツの手話通訳,手話 (収録済),手話 (収録済),https://www.w3.org/TR/2024/REC-WCAG22-20241212/#sign-language-prerecorded,https://waic.jp/translations/WCAG22/#sign-language-prerecorded,11
